urlDrugName,highly_effective,benefitsReview
fiorinal,Not Effective,It assisted the ibuprofen and cortizone in pain relief.
doxycycline,Not Effective,"I originally began this treatment for acne and I'm still in the process of my acne treatments. However, after a little over two weeks of treatment and seeing an improvement in my skin, I went in for a pap smear and found out that I have asymptomatic chlamydia. I was prescribed 1 gram of Azithromycin and while doing my research found out that the exact same dosage I've been taking of doxycycline for 1-2 weeks is considered an effective way of treating chlamydia, but clearly that did not work for me."
zomig,Effective,Elminated 95% of Migraines/Headaches!
climara,Not Effective,"nothing noticeable really, night sweats improved (slightly), memory, not as fuzzy"
ortho-tri-cyclen,Effective,"Benefits were the prevention of pregnancy, regular periods, shorter periods, and less intense pms symptoms.  My breasts went from a full C cup to a full D cup!  I'm on lexapro so that might be the reason i didn't experience really bad mood swings or any depression like some people said they have.  Nothing really changed other than that and it's great to know when i will get my period."
synthroid,Not Effective,"The drug Levothyroxine 100 mics daily that I took for hypothyroidism was advantagious for my metobolic effect. I did have more energy and felt more alert and awake, as before where I felt lithargic and brain dead.If I inadvertantly skipped a day of medication, I felt like I would notice my sluggishness a few days later."
citalopram,Not Effective,"Some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether I would have come through it anyway as I had in the past."
renova,Not Effective,skin looked healthier with fewer break outs and was smoother. I noticed pores becoming smaller
biaxin,Effective,"In addition to quickly resolving Bronchitis, asthma improved significantly. Better breathing than I've had in months (prior to bronchitis). Had horrible coughing spasms that caused me to vomit phlegm and almost strangle (several times). Cough and throat irritation diappeared within 2 hours of first dose of Biaxin."
cytomel,Effective,"when the standard treatment for hypothyroid didn't work to raise my baseline t3 & t4 levels, i continued to experience all of the low thyroid symptomsA:  coldness, lethargic, depression, etc.  by taking cytomel on the 5 x daily basis, i have very close to normal functioning thyroid activity."
accutane,Effective,"Accutane cleared up my skin immediately. During the first month, there was no noticeable change, but after about 5 weeks, my acne slowly disappeared and has not come back."
oxazepam,Effective,"I would get heart palpitations and major stress hours before my ex would come and pick up our daughter for visits; I also had difficulty sleeping if I had to deal with any issues with him; I would take one of these pills, only if I felt I needed and sometimes an hour before he would pick her up, and I would feel much calmer.  It was a life saver for  me until I got through the emotional upset and was able to detach."
prinivil,Not Effective,"My mother had slight high blood pressure and was prescribed Lisinopril along with the water pill. The medication was doing its job, lowering BP to normal."
atenolol,Effective,"the overall experience was positive, with little to no side effects, blood pressure medicine dropping blood pressure from 180/100 to 117/70 in 3 months.  lower blood pressure prevents heart disease and risk of stroke or other ailments associated with hypertension."
premarin,Effective,There was a decrease in dryness and discomfort.  I thought there also was a benefit to my mood and outlook.  Additionally my skin was more supple and had better color.  There was no pain associated as before.
norpramin,Not Effective,no a.m. headaches
effexor-xr,Effective,"decrease in moodiness, irritability, cessation of depression/dysthymia related symptoms."
ambien,Not Effective,"Made me sleepy enough to shut down and go to bed, although it typically still took  me hours to get to sleep. The sleep that I got from this medication was deep and refreshing."
metformin,Effective,after one year of taking this drug pregnancy was acheived via IVF and successfully carried to term with help of blood thinner heparin
zithromax,Effective,It cleared up my coughing within 2 days.  I could sleep far better at night.
grifulvin-v,Effective,The benefits of the treatment were clearing a fungal infection that plaqued me for a few months.
lumigan,Effective,The Lumigan made my lashes grown longer and thicker. I didn't need to use as much mascara.
imitrex,Effective,"Once a day, sometimes 2 in a 24 hour period depending on the severe headache"
proscar,Not Effective,"I noticed hair regrowth in small amounts but did not know my genitals were shrinking.  A friend told me of his testicles shrinking on the drug and so I examined myself and realized that what once was, was no more."
triphasil,Effective,"General Medical:  The treatment is for contraception.  I used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication I experienced severe hair loss which i was not warned about"
cipro,Not Effective,none...I am reguired to write fifty words bon the treatment benefits but since I had to discontinue the drug or die there were no benefits and I would be telling a bald faced lie if I said there were and but I will keep on typing so that I comply with the request for the fifty word minimun
risperdal,Not Effective,it controls my anger pretty good.
ambien,Effective,treated the insomnia effectively.
provigil,Effective,Provigil allows for better wakefulness in the daytime which in turn assists in better sleep. It also indirectly boosts mood by allowing some level of function during a chronic illness where things can easily spiral downward.
voltaren,Effective,elimination of pain in elbow .reduction in general muscle discomfort to rest of body after gym workout.
prinivil,Effective,BP running normal - no seizure activity - cholesterol good
metrogel,Not Effective,"less red spots, helped remove red spots...which were usually worse after hot shower, but I enjoy that so I use the metrogel after that when symptoms are worse and it seems to help. I enjoy  coffee, wine, hot spices, hot showers, really only limit sun exposure and the rosecea seems better. Also in the morning if I notice red spots it seems to help."
maxalt,Effective,"After about an hour, headaches disappear. This drug works better for me than other drugs taken before the year 2000, such as Imitrex and Zomig which I took for migraines. Imitrex sped up my heart which scared me. Zomig took 2 hours to work for me.
Maxalt changed my life as I finally am able to function instead of wasting a whole day in a dark room in tears from the pain of migraine. I do not miss work days anymore."
naproxen,Effective,"I fractured of my ankle 30 years ago and about 3 years ago I developed arthritis in the same joint (but nowhere else) which was very painful and caused swelling, redness and reduced movement.  I tried all sorts of treatment (aspirin, ibuprofen and a number of recommended natural remedies, the best of which can be said they made things no worse).  I was prescribed naproxen and this has worked really well, so much so that I have thought on a couple of occasions that I have been 'cured', but within a few days of stopping the tablets twinges reappear."
antivert,Effective,Restored me from total incapacitation to a full function.
tylenol,Effective,"I believe that there are multiple treatment benefits of Taking Tylenol for my headache. Tylenol is safe, inexpensive, and does not require a physicians prescription. Additionally, it is available almost everywhere and therefor is convenient."
xanax,Effective,"Reduced panic attacks, in combination with Lexpro. Particularly effective when taken an hour before panic inducing situations, such as flying."
solodyn,Not Effective,Reduced redness of complexion; reduction in overall inflammation of skin; reduced breakouts of acne.
hyzaar,Effective,Pills helped to lower my blood pressure.  Also helped to relieve water retention.  Eliminated headaches associated with high blood pressure.  Although possibly unrelated experienced some weight loss.
zithromax,Effective,"It is extremely, powerful antibiotic, which give immediate effect with in two hours."
fexofenadine,Not Effective,"There were no benefits as the sniffling, dripping, coughing continued even on the medicine."
lunesta,Effective,"For years I was sleep deprived due to working conditions.  Rarely would I enjoy the luxury of a full night sleep. Typically I would take hours to get to sleep and had extreme difficulty remaining asleep. Dreams were too realistic and often I would be more tired in the morning than upon retiring to bed. Taking Lunesta has allowed me not only to get to sleep but return to sleep.  If I wake in the middle of the night, for example to go to the bathroom, I am awake and not stumbling. The vivid dreams are gone and I have experienced no groggy or hungover symptoms that you sometimes hear of when taking sleep medication. 
It has truly changed my life and I am so grateful for my Dr. for his prescription."
tambocor,Effective,prevented 90% of tachycardia incidents. when tachycardia did occur it was less dramatic
lipitor,Effective,"It lowered my cholesteral considerably.  My total cholesteral was over 300 and my LDLs were over 200, but after being on Lipitor for three months, my total cholesteral is now 186 and my LDL is 86, so I am in good shape.  In addition, I have experienced NO side effects whatsoever, so I am pleased.  The only drawback is that it does not come in generic form, so my co-pay is $40.00 per month."
ventolin-hfa,Not Effective,None
flonase,Not Effective,"I have rhinitis almost all year long. Usually it gets worse in the cold season. I have tried many other medicines, but they either have too much side effect, or don?t work for me at all. This nasal spray clears the congestion in 10 minutes, doesn't last for the whole night, but the pretty pleasant smell make me feel good."
ambien,Effective,"Definitely made me fall asleep. Very fast acting, about 10 minutes after taking it, I feel groggy."
armour-thyroid,Effective,"cost savings and more control versus combo of Levoxyl and Cytomel.  Without insurance, I got my doctor to write a year's worth Rx and ordered in from Canada."
remeron,Not Effective,Hardly any except I felt so physically tired that I couldn't even feel depressed.
valtrex,Effective,"This works EVERY time I get a cold sore. Stops the cold sore in it's tracks, immediately!!! Took one at first sign of tingling. Now that I have a prescription, I rarely get them anymore."
valium,Effective,medication allowed the patient to relax and helped reduced pain in legs. This resulted in reduction of Restless Legs Syndrome and also allowed the patient to have a good nights sleep. Minimal soreness in legs next morning.
cymbalta,Not Effective,"When you are in a mild depression or dystimia the worst thing is that you are unable to think or concentrate, you feel sleep and tired all the day. It's like 
having a permament cloud in your mind. I think that this treatment is helping me a lot: now I have a sharper mind, I feel more energetic and I can concentrate properly."
sumatriptan,Effective,"got rid of migraine pretty quickly, in about half an hour, but was not as good as imitrex, the brand name. Imitrex would get rid of the migraine more quickly and more completely.   There would be times, perhaps one out of three, where I would  consider taking two of the 50 mg sumatriptans"
percocet,Not Effective,"Pain is now under control to some degree.  Still have pain throughout body and down legs.  Before the medication I would not be able to get out of bed for sometimes days.  Even when I could get out of bed I would not be able to sit up or walk for more than 30 minutes before I had to lay down.  Now I am able to be up all day, walk and sit up for more than 3-4 hours at a time."
cytomel,Effective,"I am now wide awake--for the first time in YEARS!!!  My body aches have lessened greatly.  I am alert.  I can keep up with the housework.  I have a better memory, concentration, and overall mood.  I have regained my creativity.  My appetite/desire to overeat has decreased, though I still have an appetite.  I just eat like a normal person, now.  I don't suffer from emotional or boredom eating.  I am steadily losing weight--8 lbs. so far.  I also have the energy and desire to exercise, something that I couldn't do before.  I feel like someone handed me my life back!"
clarithromycin,Not Effective,Immediately took the pain from the Strep away.
citalopram,Effective,"I sufffered from dibilatating panic attacks, but they only lasted 15-20 minutes max. I was taking klonopin every once and awhile which helped a little, but by the time the klonopin kicked in the attack was over. It got to where I had an attack at least every other day. The Citalopram kicked in in about 2 weeks and I've had only 1 episode since, granted I've only been on it for 2 months but it has worked wonders for me."
prozac,Not Effective,"none, I felt worse. This is probably a drug that works for some people but didn't work at all for me in fact I felt much much worse. Unfortunately, I didn't review the contraindications."
valtrex,Not Effective,To lessen the severity of an onset or outbreak of genital herpes.
zoloft,Effective,"Highly motivated vs my previous state of, ""why do I get up in the morning""? Nothing upset me- even something that would put down a generally happy person."
chantix,Effective,WOW. I find this drug to be a powerful cocaine antagonist and nicotine antagonist.
zyrtec,Effective,stopped sneezing runny nose and other allergic symptoms.effecive for common cold and fever if given in the begning of the disease.can be taken till the sputum changes the color to yellow.can be taken till transparent sputum or discharge from nose.result is very quick (within some hours after taking the tablet)
elidel,Not Effective,"It was a cream base that was easy to apply, twice a day.  It seemed to help with an allergic skin rash due to detergent irritation.  It was not as strong as a higher dosage cortisone cream, but it was still effective.  There were no side effects of note.  The cost was higher than over the counter preparations.  All in all, it was a good choice for stubborn skin irritation issues."
climara,Effective,"Climara patch almost completely stopped the severe hot flashes and severe vaginal dryness. It also has improved skin tone and elasticity, moderated mood, improved sleep (by decreasing hot flash frequency). The side-effect of pain in liver area from estradiol by mouth has gone away using a dermal patch."
lyrica,Not Effective,I feel alot less pain taking the Flexeril (only at night) and the Lyrica.
seroquel,Effective,"Seroquel is the first medication that really seemed to work for me. I have taken it along with several different combinations of meds, but the Seroquel has remained in my regimen for the past 5 years. I play with the dosage and make my own changes (25 mgs at a time) based on how I'm doing, so I've taken between 200 and 400 mgs at any given time. The effects I attribute to the Seroquel include lessening of depression, anxiety and aggression."
prevacid,Effective,Reduced acid production to normal levels.
proscar,Effective,"my urination problems (urgency , frequency , etc ) practically disappeared and I no longer had get off my bed to urinate several times during the night"
seroquel,Effective,"Initially I was prescribed it to knock me the hell out after 4 days of beautifully manic insomnia. Then after the mixed episode ended they spiked the dose over the course of a few months to 300, where it sits. 

The effects, compared to when I was in the episode I'm very stable. Occasional bouts of mild, often topical depression, but otherwise okay. 
As for insomnia, it's gotten to the point where I'm almost dependent on it to sleep. Considering beforehand, even while not in a noted phase I would have serious problems sleeping, this is a welcome effect."
danazol,Effective,"After a month taking, the cyst is shrinking considerably. It was a few cm big. By the end of three months, the cyst was completely gone. I'm cyst free since then."
celexa,Effective,"I'm only four days in, but I already feel more like myself than I have in a year and a half.  The effects were almost immediate.  I've taken more responsibility, had more energy, and been more outgoing already."
ditropan,Effective,The medicine has stopped her wetting both day and night and worked within a week of her taking it. She is over the moon and so am I!
mobic,Not Effective,Honestly I have felt no change in my symptoms. If anything it feels as if they are getting worse. I constantly am getting sever headaches and my symptoms have not alleviated. I have not experienced any type of symptoms. I am also extremly tense to where the tendons in my neck do no sit flat.
permapen,Not Effective,"Absolutely no benefits, did not seem to get better even in a week.  Through research I learned that penicillin does not treat a virus and that a virus must run its course.  No idea why my doctor precribed Penicillin.  Would rather he had been on the up and up about it instead of precribing a worthless treatment."
synthroid,Not Effective,"Had to take a thyroid replacement, so it did that, but not as well as I would have expected."
tirosint,Not Effective,No improvement at all in symptoms.
prednisone,Effective,"This medication completely erased symptoms of the hives.  The first time that I took the medication the hives were already 2 days old, therefore, it took about 2 days for them to clear up. Now, if I ever feel the itch or see the blotchiness I can take one dose of this medicine and the hives do not progress and they are clear within one day."
zegerid,Not Effective,Reduced symptoms of acid reflux
paxil,Effective,I believe that I suffered from depression my whole life.  I feel like the first years of my life would have been very different if I had some treatment for my feelings.  My whole family would agree that I am much much happier and have a feeling of peace in my life.
solodyn,Effective,"Solodyn virtually eliminated any acne I had, both on my face and body.  It took about a month to see dramatic results, but some results were visible within a few days of starting the medication."
imitrex,Not Effective,"I initially switched over from Axert since my insurance covers more of the Imitrex prescription.  Imitrex just isn't right for me.  I experienced almost all of the side effects such as flushing, sensations of tingling/prickling, weakness, drowsiness, dizziness, and fast/pounding heartbeat.  On top of that the packaging is just HORRIBLE!  It comes 9 to a package.  The packaging is a tri-fold ""booklet"" that is very rigid and has individual blisters for each tablet.  It's about 6 1/2 by 3 1/2 inches, folded.  I  like to have migraine meds on me at all times so I ended up cutting the tablets out of the booklet so they would fit in my wallet or purse.  Definitely going back to Axert!"
allegra,Not Effective,"Treatment benefits were the cessation of allergy symptoms such as itchy eyes, itchy ears, itchy throat, sneezing, nasal drip, congestion and borderline asthma; however, during high allergy season, the regular dosage was insufficient, the beneficial effects lasting only about 12 hours, instead of the intended 24.  Then it was required twice daily to relieve symptoms described above."
flonase,Effective,"It cleared up my nasal allergies, my stuffy nose, post nasal drip and as an added benefit it also helped prevent getting hoarse."
remicade,Effective,Fistula is considerable reduced. Almost healed. Fluid developing in the fistula is also healed. Frequency of stool passing is also reduced to twice a day.
lyrica,Not Effective,None
phendimetrazine,Effective,A total of 20 pounds lost in one month.
azopt,Effective,"Although this is not available in generic, I am using the generic versions of alphagan and betagan in conjunction with this drug. Each drug was used independently to determine side effects before they were combined for treatment. (This was a many visit process! But the results have made it was worth it) This combination lowered my intraoccular pressure to the point that it was not necessary to have surgery - my next step since other combinations did not work."
armour-thyroid,Effective,"Not as tired, thicker hair, not gaining weight as easily"
ambien,Effective,"I had two arthroscopic surgeries to my right knee with little relief or benefit from the surgery. I was prescribed Ambien 10mg at bedtime as needed to help me sleep. On the nights I didn't take the medicine, I woke up all through the night. With the medicine, I slept well and soundly."
niaspan,Effective,"My total serum cholesterol dropped from 280 to 198, LDL dropped from 225 to 122, HDL increased from 38 to 57. My triglycerides were already low due to a strict low-carb diet. My blood pressure was already low (104/70) due to verapamil therapy to prevent cluster headaches, and has remained low. I experienced no serum increases in liver enzymes, urea, or sugar."
ditropan,Not Effective,The drug helped to decrease hyperhidrosis
adipex-p,Not Effective,I experienced a weight loss of approximately 3 kg in 1 month. The effects tapered off in the second month with the total weight loss to be estimated at 6 kg. Subsequently I felt less urge to snack
lyrica,Not Effective,There was a minimum amount of pain reduction.  I believe the medication works neurologically and you do not realize you still have pain.  The side effects were so severe I was afraid to drive the car.  My memory and thought process was deeply distrubed and I still felt pain. My thought process changed so quickly during a mid sentence I sounded as if I was on drugs.  The side effects were just not worth tolerating for the small benefit.  I could not help but think with the way this is making me feel mentally what is the effect it is really having on me.  This medication was meant for Diabetics that suffer nerve pain.  I feel sorry for someone who would need to remain on this medication if it was helping reduce the pain.  As all medications it is not going to correct the underlying problem just address the symptoms associated with the problem.  I would not recommend anyone take it.
zoloft,Not Effective,Patient experienced no treatment benefits.
azelex,Not Effective,I was not able to use the cream long enough because of the side effects.
selegiline,Effective,increased synaptic dopamine levels. This gave me an amazing sense of wellbeing and clarity.
zantac,Not Effective,the benifits of the treatment were that it stopped the pain. i could sleep at night. i could eat food that i could not eat before. because i was not in consent pain i could get on with my life
wellbutrin,Effective,"Within a couple of weeks, intrusive thoughts of suicide abated.  Over the next few weeks mood lifted some.  At the time I started I was desperate & hopeless was quite surprised it helped as much as it did without usual side ffects of anti depressants-sexual sidew effects & weight gain.  Didn't cure depression but definitely helped severe suicidality.  And I'm against anti-depressants as 1st run for treating mood disorders but there is a place for them when exercise, sprirtual practice, good nutrition & life balance not enough-but these life practices absolutely indispensible for any health issue esp. Mood disorders."
wellbutrin,Effective,"Wellbutrin and Prozac stabilized my moods and kept me from slipping into depression. There really wasn't anything more to it, but I gather I have to write 50 words, so here they are."
remeron,Effective,"Remeron (mertazapine) was a god send for me. I had chronic insomnia with sleep deprivation for 12 years and tried to treat it with OTC drugs. It appeared one night, not slowly over time. I tried several meds without success before my doctor suggested Remeron. It took a few weeks to take effect but it has been 100% successful for about 17 years now. I used to take up to 45 mg. at bedtime but have ratcheted it down to 15 mg. over the years. If I miss one dose I know it. Falling asleep is no problem. My problem is staying asleep for more than 2 or 3 hours night after night after night. . . Not fun."
accutane,Not Effective,Eventual Acne reduction.
lipitor,Effective,regulated bladder control to allow patient (me) to return to a regular life and not have to modify all movements by where the nearest bathroon is located.
differin,Effective,"my acne cleared up within a few months, and now it is gone."
sulindac,Not Effective,"After about a week, I started to see a small reduction in the size of the fluid-filled cysts behind my knees.  Over the 3-week treatment period, there was about a 25 percent reduction in the size of the cysts. There was also a mild reduction in the pain associated with the cysts. 

Another benefit was that I did not get upper GI pain & bleeding with this med, whereas NSAIDs had been causing black stools due to GI irritation & bleeding."
cleocin,Not Effective,"for vaginal bacteria with foul smell, I dont know if the treatment is effective it is only 2 days but then I started yo have to side effects"
enbrel,Effective,"decreased inflammation of cervical spinal column, increased motion of cervical spinal column, decreased pain in other joints, decrease in neck pain, etc."
ativan,Effective,It really help me to cope with the anxiety
valtrex,Effective,With the valtrex I was treat coldsores only and could aviod break outs yr long. If i stopped I was garenteed to get one
adderall,Effective,"Definitely noticed right away that I had more energy, better concentration and motivation, and could actually focus for the first time in years. By taking this med, it caused a chain reaction that got my life moving forward again: I started by becoming able to get out of bed and get things done around the house. Had more motivation to help myself in other ways - better nutrition, better exercise, self care, etc. Then my body and mind began to kick in and heal itself more. Now the med simply acts as a support for me, but I am ready to start tapering down my dose!!!"
aricept,Not Effective,"none, only took one pill and found that the side effects do not warrant continued use."
differin,Not Effective,Benefits were intended to be no facial acne
renova,Not Effective,"I experienced a some evening of skin tone, somewhat smaller pores and very slight improvement in crowes feet"
adipex-p,Effective,"Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer, more like my old self."
retin-a,Not Effective,It was fairly successful for the acne.  I found it especially good at spot treatment if I felt a cystic type coming up.
prozac,Not Effective,"There really weren't any - I didn't feel any better as the stressors in my life were still there.  I did not feel any relief from the depression, as a matter of fact, I felt worse."
mirtazapine,Not Effective,"Did improve my appetite, which was suffering as a result of the depression."
dysport,Not Effective,I had deepening frown lines on my forehead and between my eyes....the benefits were a decrease of the lines (wrinkles).
cialis,Effective,Long lasting erection
cipro,Effective,"Cleared up the infection but any number of other drugs would have done just as well, without the awful side effects."
tarka,Effective,very effectively reduced my blood pressure to a good level and has amitianed it for the 2+ years I have been taking it.
lo-ovral,Effective,"Within days, the acne disappeared. When taken continuously for 3-5 months at a time, the acne never reappeared and the hirsutism decreased substantially.  We then added laser hair removal and stopped the spironolactone."
lexapro,Not Effective,"I was experiencing a lot of hot flashes and I think they have subsided in frequency, duration and intensity since starting to take the Lexapro."
prempro,Effective,"I was prescribed Prempro by my OB/GYN for hot flashes. I took one pill a day for over a year. I wento off the Prempro for 3 months and the hot flashes came back, seemed worse than before. I am now back on and have taken 4 days, hot flashes are beginning to get better and hopefully will completely disappear soon!"
doxycycline,Not Effective,It did help with the red blotchy skin that the rosacea was causing and the heat that I would feel when the rosacea would kick in. It also helped with pimples and welts that would sometimes come on during a bought of the rosacea.
avelox,Not Effective,I had taken avalox several times before because I had become immune to other antibiotics.  Avalox seemed to work previously.
paxil,Not Effective,there was none.
propecia,Effective,Hair loss all but stopped - kept crown area full.
zoloft,Effective,"instantly i felt relieved. i am able to stand back a bit from things that would previously really upset me. i am therefore able not to let things get to me,fantastic. so now i don't  explode instantly in anger at things anymore, i tried to think myself calm and non reactive previously but it did not work. with zoloft i have a calmness when meeting things that would normally make me enraged .i have time and mental space to be rational and realistic and can choose a sane quiet and dignified response, not aggression and anger. hallelujah."
amoxil,Not Effective,"None, presum,ably b/c I had to quit taking the drug before the prescription was completed due to side effects/ possible allergic reaction."
finacea,Not Effective,Cleared up smaller papules/pustules and noticeably reduced facial redness. Did nothing for my cystic acne and blackheads.
ortho-evra,Effective,"This was a the easiest birth control that I have ever used, I like the idea of worring about it only once a week"
wellbutrin,Not Effective,Did not take it long enough for any noticeable benefit.
klonopin,Effective,"The drug has a very long half life and because of that property there is a long, smooth sustained effect of the drug. I did not feel highs or lows and hardly knew I was taking it except it helped my anxiety."
rhinocort,Not Effective,Seemed to ease allergic rhinitis symptoms caused by seasonal allergies.  Easy administration was a great benefit.
xyrem,Not Effective,"Woke up feeling a little less like a zombie, No more insomia."
synthroid,Not Effective,Needed to replace natural tyroid hormones
atenolol,Not Effective,"none except....slowed heart rate. My afib was NOT diminished, but I assume the drug was helping keep my heart rate when in Afib down somewhat"
claritin,Effective,Dr recomended this for a cold. The traditional decongestants and anti-histimnies had not worked and I was not aware that this allergy medication would have been so effective.
macrobid,Effective,Relief and cure of UTI
prozac,Effective,"I felt like I was in a deep dark hole for most of my life, almost immediately after starting the medication I felt like a different human being! I noticed colours for the first time in years and I couldn't stop looking at the beautiful sky, grass and flowers. I felt alive, energetic, happy and positive, For the first time in years I wanted to get up in the mornings and LIVE. I wanted to go out in the world again, where as before I hid in my house because of panic attacks. I landscaped my whole garden and when that was done, I decided I wanted to work again and found a job. My marriage flourished after this new me and I fell pregnant 6 months later, at which time I had to discontinue, but that 6 months of Prozac was all it took to give me a new life."
relpax,Effective,migraine pain relieved in 1 - 2 hours and lasted for 24 hours with 1 tablet
avita,Effective,"After only three days of treatment my partner noticed a reduction in the hyperpigmentation, it took me about a month to notice these effects. Having used tretinoin now for two months the crepiness under my eyes is greatly reduced, there is undoubtedly a marked improvement in the texture of my skin and the hyperpigmentation is getting better every day."
oxycodone,Effective,"Oxycodone helped take the major edge off of pain so I could rest. However, it made me so drowsy and felt ""out of it"" that I would switch to Ibuprofen."
concerta,Not Effective,mildly increased attentiveness
ortho-tri-cyclen,Not Effective,"Prevented pregnancy, completely cleared up my (moderate) acne."
fioricet,Effective,treatment benefits include migrain pain subsiding in about 20 minutes.  No lingering fuzziness from taking this medication.  Did not make me sleepy. If migrain pain appeared hours later another dose taken.  This drug is especially handy for anyone with pre-menstural migrain headaches
tramadol,Effective,"I was able to walk (although I should not have)and drive in total comfort. All the pain was aleviated throughout the period of time i was taking the tablets. I felt in full control of all of my senses, even though i was a little more relaxed than normal."
imitrex,Effective,"Within 30 minutes for injections to 2 hours for caplets I was pain free and functional.

I had gone camping and run out of Imitrex.  I was in pain for about 14 hours when I was taken to a little emergency clinic. They gave me an injection of 50 miligrams and in about 15 minutes I was pain free and feeling normal."
remeron,Effective,Felt 'normal' rather than in a state of panic and anxiety. Thoughts were clearer and not racing. Felt calm and peaceful.
vyvanse,Effective,"After taking Adderall XR for about a year, my doctor switched me to Vyvanse.  Vyvanse not only helps me focus and take away the symptoms of ADHD that I was experiencing, but it does so for about 12 hours.  With Adderall XR, the effects lasted only a few hours, and I experienced a crash after the effects wore off and I instantly because extremely cranky and irratable.  With Adderall XR, I also lost the desire to eat.  I am hungry with Vyvanse, and do have the desire to eat.  With Vyvanse, I do not feel the crash at the end of the day, and I do not experience any moodiness.  I am very please with this drug, and it has changed my life for the better.  I have reccommended it to other family members with the same problems that I have and they have shared with me similar success stories."
crestor,Effective,much lower cholesterol
lipitor,Effective,lowered lipid levesl
botox,Effective,"Botox was administered to help reduce the lines appearing on my forehead and at the outer side of my eyes- crows feet.  The 100 and 50 unit injections were effective in reducing the lines for a period of about 5 months, but there were noticeable adverse reactions with the 100 units.  The 50 units were as effective but without the spasms noted under Treatment Details.  OF the 2 times 50 units were injected,  the last time the botox had been reconstituted for more than the recommended 4 hours.  There was concern of effectiveness, but actually it seems as though the botox was more quickly effective, and seemed more effective in reducing the lines that the previous 50 unit injection.  More detail is covered under the treatment details."
cymbalta,Effective,"Hello all !
Through the past two years I was diagnosed with Shuermann's Kyphosis, a degenerative back disease in the lower spinal column. Throughout the past two years I have been on and off intensive narcotic pain killers, Ie. Vicodin ES,Percocet,MS Contin etc.. I knew enough was enough, so like that I stopped taking them. I have no side effects whatsoever. I have been through and still ongoing physical therapy ( 4th session 1 session is 3 weeks ) and been too four Orthopedic doctors and spinal specialists. My doctor and I discussed a long term pain application to get me off taking narcotics. I am no pro, but I know that opiates are the best for bad chronic pain, which i experience every day in my life. My doctor and I talked about Cymbalta which can be used to tone down the pain level sensors in the brain so I am not experiencing so much pain. I also have high levels of depression, and anxiety. Recently my Aunt and Uncle passed away which they practically raised me when I was born in Ireland, and my Sister's deaths was even more of a add on. I felt myself slipping into a deep black hole, and was looking for cheap thrills just to keep myself from going crazy ( literally ). Anyways, it has been my third day on this prescription, and I feel like a new person. I find myself enjoying simplistic things, and taking initiative in my life to pursue my goals and education. I am currently unemployed and as a young adult it is very hard to maintain money flow with no job. I am enrolled and taking college courses which I have 2 more semesters left before I receive my degree. In one of my classes (Chemistry) We are assigned a Science experiment. Mine, will be for depression and pain levels which will I am using Cymbalta. I recorded myself for two weeks, and then the first day after each dose of the drug. I am feeling alive, and that classical person everyone enjoys being around. I have read a lot about this drug and how it fails or makes situations worse. But for me it is working, and I am consistent in my daily routine. I shall continue to document all of my feelings and side effects from this prescription."
cipro,Not Effective,None. The Cipro appeared not to work for my skin infection.
lexapro,Not Effective,"The first few days I felt ""happier"""
tetracycline,Not Effective,"I do still see reduction in the papules but the redness is still there. In fact, I am wondering if I am developing an immunity because the redness seems to be worsening. Also my skin seems to be getting more sensitive n general."
albuterol,Effective,"I could breathe, and if I took it before exercise, I wouldn't need it during."
cialis,Effective,Very quck and long lasting erection. Have been able to have sexual intercorse for 2-3 days no problem. That also had a psychological effect of easing anxiety.
singulair,Effective,"controls asthma by controling my allergies.  The allergies subsided and my ashtma does not kick in I have allergic onset asthma , typically caused by pert dander or huge climate changes .  Like going from the South texas area where I live to Oklahoma in the winter when its cold there"
seasonique,Not Effective,None
wellbutrin-sr,Effective,"I began to notice the positive benefits within a few weeks.  My mood brightened, I stopped feeling grief and self-loathing, began to remember what I liked to do. I also had increased ability to concentrate, increased energy, increased sex drive.   I was no longer depressed.  I stopped taking the medication after a couple of years, and the symptoms of depression did not return."
lexapro,Effective,"helped anxiety & black moods, headaches.  Made my life a happier place to be in, especially for my family.  Have had great results with lexapro with only minimal side effects such as a small weight gain."
tetracycline,Not Effective,"My rosacia and acne were improved 60% by the drug but I believe that the Murad Skin Care line for acne helped more than the drug.  I used both daily, first the drug for 3 mo. then the Murad for 3 mo.  The Murad appeared to help more without any negative side effects. My skin on the drug was very sensitive to sunlight but not with the Murad treatment."
trimethoprim,Effective,The drug was to prevent further infections which were starting to scar the kidneys. After taking the drug my daughter did not have any more infections. it was a low level dose and did not seem to affect her in any way e.g causing digestive problems.
